row_kind,component,item,measured_unit_cost,unit_cost_units,multiplier,multiplier_meaning,projected_core_hours,projected_gb,spread,provenance_probe,repetitions,machine_state,notes
MEASUREMENT_PROBE,C3_D14_NORMALISED_ESTIMANDS,relative_gaps,0.000001,CPU seconds per call,31200,encoder cells = 48 scenarios x 13 configurations x 50 replicates,0.000009,,"median 1.0 us, mean 1.48 us, min 1.0 us, max 18 us, sd 0.73 us","/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/component_probe.py, component D14; run_sim1b_dense_addendum.relative_gaps including the NOT_IDENTIFIED branch",3000,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i",relative_log_gap and relative_brier_gap per encoder cell.
PROJECTION,C3_D14_NORMALISED_ESTIMANDS,d14_total_NOT_ADDED_AGAIN,,,,,0.000027,,,sum of the two D14 rows above,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","DOUBLE-COUNTING GUARD: D14 runs INSIDE scenario_worker, so this 0.098 CPU-seconds is already contained in the measured 1.0069 runner-overhead factor and is NOT added to the total a second time. It is separated here because the deliverable requires the component to be visible, and because it shows D14 is ~0.0005% of the arm."
MEASUREMENT_PROBE,C4_D13_BLOCK_BOOTSTRAP,block_bootstrap_per_quantity,0.000119,CPU seconds per reported quantity,2000,ASSUMED number of separately-bootstrapped reported quantities,0.000066,,"median 119 us, mean 129 us, min 117 us, max 377 us, sd 35 us","/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/component_probe.py, component D13; paired percentile bootstrap RESAMPLING THE 8 PARAMETER-DRAW BLOCKS (not scenarios, not replicates), B=2000, seed 90210, per 01B rulings.D13.bootstrap",60,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","THE ONE MULTIPLIER I COULD NOT MEASURE AND HAD TO ASSUME. 2,000 is a generous upper bound: the frozen matching key gives 76 contrast keys (38 learner-cells x 2 metrics) and ~8 estimands each = ~608, plus the E1a/E1b/E1c clause statistics and the BH family. The assumption is immaterial: even 100,000 bootstrapped quantities would cost 0.0033 core-hours, i.e. 0.017% of the ceiling."
TOTAL,TOTAL_CPU,projected_a1_cpu_core_hours,,,,C1 calibrated 8.570064 + C2 0.003187 + C4 0.000066 (C3 already inside C1's runner-overhead factor),8.573316,,"[8.473, 8.667] propagating the ratio CI only",sum of the PROJECTION rows above,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","Calibration is applied to C1 only, the sole EXTRAPOLATED component; C2 and C4 are measured directly and enter at 1.0x. Calibrating them too would add 0.0013 core-hours."
TOTAL,TOTAL_CPU,ceiling_core_hours,20,core-hours,,,,,,execution prompt A0 step 8 / advisor ceiling,,,
TOTAL,TOTAL_CPU,fraction_of_20_core_hour_ceiling,42.87,percent,,,,,42.35% - 43.32% across the ratio CI,8.573316 / 20,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i",WITHIN CAP. Headroom 11.427 core-hours. A0 said 42.8%; the re-projection moves it to 42.9%. The ceiling verdict is unchanged.
TOTAL,TOTAL_CPU,wall_hours_at_8_workers,1.072,hours,,,,,,8.573316 / parallel_workers_max = 8,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i",
TOTAL,TOTAL_CPU,a0_1_probe_cpu_spent,0.3641,core-hours,,,,,,"1,226 s ratio probe + ~64 s component probes + 31 s D17 harness runs",,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","This session's own probe spend, charged to A0.1, NOT to the A1 budget. 3.3x A0's 0.1085 core-hours, which is what buying 32 pair measurements instead of 3 cost."
MEASUREMENT_PROBE,C5_DISK,addendum_raw_csv_bytes_per_row,870.9,bytes per row,182400,EXECUTED rows,,0.158852,,"/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/component_probe.py, component DISK; 76 real rows emitted by run_sim1b_dense_addendum.scenario_worker(n_eval=2000, replicates=1), all stamped NON_FROZEN_PROBE_NOT_AN_ADDENDUM_RESULT, written to scratch only","1 (76-row frame, 78 fields)","macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","MATERIAL CORRECTION TO A0. A0 used 294.7 B/row measured on the 1B PROBE schema; the A1 runner writes 78 fields, so the real figure is 2.96x larger. Sanity check: 870.9/78 = 11.2 B per field, against the frozen 1B raw CSV's 281.0/27 = 10.4 B per field."
MEASUREMENT_PROBE,C5_DISK,parquet_bytes_per_row,79.5,bytes per row,182400,EXECUTED rows,,0.014503,,"transferred ratio: the frozen 1B pair raw/sim1b_replicates.csv (307,539,238 B, 281.0 B/row) vs 05b_SIM1B_REPLICATE_RESULTS.parquet (28,068,758 B, 25.65 B/row) gives parquet/CSV = 0.0913; applied to 870.9 B/row",1 (deterministic read of two frozen files),"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","ASSUMED, NOT DIRECTLY MEASURED. The 76-row probe frame gave 679.4 B/row, which is an artefact of amortising 78 columns of parquet metadata over 76 rows; it is not usable. A0's 54.8 B/row had the same small-frame inflation (the real 1B parquet is 25.65 B/row)."
MEASUREMENT_PROBE,C5_DISK,d17_reference_csv,417.7,bytes per row,624,D17 reference cells,,0.000261,,"ls -l of S0B_REFERENCE_GAP_CHECK_d3_frozen.csv (260,631 B / 624 data rows, 46 columns), read-only, re-measured 2026-08-25",1,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","New file A0 never priced. CORRECTED 2026-08-25: this row previously priced 338.8 B/row from a stale 211,395 B, the file size BEFORE the AMENDMENT-4 gate columns (G3 stored-MC and G4 fingerprint) were added. Net effect on the disk projection +0.00005 GB; the 0.2026 GB headline and the 1.01% ceiling fraction are unchanged at the stated precision."
PROJECTION,C5_DISK,summary_figures_tables_checkpoints,,,2x parquet,"A0's own generous allowance, carried forward",,0.029006,,derived,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i",
TOTAL,TOTAL_DISK,projected_a1_disk_gb,0.2026,"GB (SI, 1e9 B)",,,,0.202622,,sum of the C5 rows (0.158852 + 0.014503 + 0.000261 + 0.029006),,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","2.4x A0's 0.084 GB, driven almost entirely by the 78-field row schema. RESUMMED 2026-08-25 after the d17_reference_csv correction: 0.202572 -> 0.202622, +0.00005 GB; the 0.2026 headline is unchanged."
TOTAL,TOTAL_DISK,fraction_of_20_gb_ceiling,1.01,percent,,,,,,0.202622 / 20; ceiling from 01_PROTOCOL_FREEZE resources.new_simulation_disk_gb_max,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","WITHIN CAP. Denominator resummed 2026-08-25 (0.202572 -> 0.202622); 1.01% unchanged."
MEASUREMENT_PROBE,C5_DISK,peak_rss_per_worker,241.5,MB,8,parallel_workers_max,,1.887,max across all 64 d=5 probe scenarios in this session,/private/tmp/claude-501/-Users-Eric-Desktop-114----code-result/e234d5a4-799b-49a4-b4f1-9d19ec0e4653/scratchpad/s0b/S0B_RATIO_PROBE_ROWS.csv column rss_mb_d5,32 probe pairs,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i",1.887 GiB against a 16 GB host. A0 reported 253 MB / 1.98 GB; see the A0_CORRECTION rows.
A0_CORRECTION,A0_ROUNDING_DISCREPANCY,a0_probe_cpu_spent,0.1090 core-hours,,0.1085 core-hours,corrected value,,,,summing the cpu_s column of S0A_ADDENDUM_MICROBENCHMARK_ROWS.csv by layer (read-only),,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","CAUSE: the A0 report composed the figure as '387.4 s of end-to-end probe plus ~5 s of unit probes'. Both halves are wrong: the six e2e cpu_s values sum to 387.316 s (not 387.4), and the unit layer sums to 3.2765 s (not ~5 s). True total 390.5925 s = 0.108498 core-hours."
A0_CORRECTION,A0_ROUNDING_DISCREPANCY,peak_rss_8_workers,1.98 GB,,1.97 GB,corrected value,,,,"max(peak_rss_mb) over S0A_ADDENDUM_MICROBENCHMARK_ROWS.csv = 252.6, not 253",,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i",CAUSE: peak_rss_per_worker was rounded 252.6 -> 253 MB BEFORE being multiplied by 8 workers. 253*8/1024 = 1.9766 -> 1.98; 252.6*8/1024 = 1.9734 -> 1.97. Rounding before multiplying.
A0_CORRECTION,A0_ROUNDING_DISCREPANCY,calibrated_band_low,8.444 core-hours,,8.4435 core-hours (publish raw_projection_band_low to 4 dp as 6.0311),corrected value,,,,recomputation from the A0 CSV's own published columns,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","CAUSE: chained rounding. The published value is correct at full precision (6.031099 x 1.4 = 8.443539) but is NOT reproducible from the CSV's own published inputs: 6.031 x 1.4 = 8.4434 -> 8.443, a 0.001 core-hour mismatch. calibrated_band_high and calibrated_projection do not have this problem."
A0_CORRECTION,A0_ROUNDING_DISCREPANCY,ratio_d5_over_d3_weighted,1.0303,,1.0303 (exact 1.030345); published inputs give 1.0304,corrected value,,,,(2.524478*1.0262 + 3.406390*1.0335)/5.930868 vs the full-precision chain,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","CAUSE: chained rounding again. Recomputing the weighted ratio from the CSV's own rounded component ratios (1.0262, 1.0335) gives 1.030393 -> 1.0304, one unit in the last place above the published 1.0303. The full-precision value 1.030345 is correct; the published component ratios carry too few digits to reproduce it."
A0_CORRECTION,A0_ROUNDING_DISCREPANCY,scope_of_the_corrections,,,,,,,,,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","ALL FOUR CORRECTIONS LIVE ONLY IN THIS FILE. S0A_ADDENDUM_RESOURCE_ESTIMATE.csv and S0A_ADDENDUM_MICROBENCHMARK_ROWS.csv were opened read-only and are byte-identical. Combined effect on the A0 headline: none -- the largest is 0.0005 core-hours on A0's own probe spend, which was never part of the A1 budget. A0's anchor (5.930868) and its weighted ratio (1.030345) both survive independent recomputation."
META,PROHIBITION_CHECK,full_addendum_cells_run,0,,,,,,,,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","Every runner invocation used the probe keywords (replicates=, n_eval=), which the runner itself stamps NON_FROZEN_PROBE_NOT_AN_ADDENDUM_RESULT; the probe script asserts that stamp on every row. All probe output went to the session scratchpad. Nothing was written under simulation-results-ct2i/raw/. No git write command was issued. scripts/run_sim1b_dense_addendum.py, scripts/s0b_reference_gap_check.py, tests/test_a0_dense_addendum_properties.py and tests/test_a1_runner_smoke.py were read but not modified."
META,PROHIBITION_CHECK,frozen_raw_verification,,,,,,,,,,"macOS-26.2-arm64 8 cores 16GB, py3.11.9 (/Users/Eric/.pyenv/versions/3.11.9), NOT conda t2i","scripts/verify_raw_freeze_manifest_addendum.py -> '10/10 MATCH, 0 mismatched, 0 missing, 0 unlisted, self-entries: 0 | RAW FREEZE MANIFEST ADDENDUM: 10/10 MATCH'"
